ID,Dien_Tich,So_Phong_Ngu,Khoang_Cach_Trung_Tam,Quan,Gia_Nha
1,50,2,2.5,Đống Đa,6.8
2,75,3,7.0,Cầu Giấy,7.2
3,45,1,9.5,Hà Đông,3.5
4,90,3,4.0,Hai Bà Trưng,10.5
5,60,2,11.0,Nam Từ Liêm,4.2
6,35,1,1.5,Hoàn Kiếm,8.0
7,120,4,14.0,Long Biên,9.5
8,55,2,6.5,Thanh Xuân,4.8
9,80,3,8.0,Hoàng Mai,5.2
10,65,2,5.0,Ba Đình,7.5
11,95,3,3.2,Đống Đa,11.2
12,48,2,6.8,Cầu Giấy,6.4
13,85,3,10.5,Hà Đông,5.9
14,110,4,2.8,Hai Bà Trưng,12.8
15,140,5,15.0,Nam Từ Liêm,10.7
16,42,1,1.2,Hoàn Kiếm,7.3
17,130,4,12.5,Long Biên,8.9
18,72,2,4.6,Thanh Xuân,6.1
19,88,3,7.1,Hoàng Mai,6.7
20,58,2,3.7,Ba Đình,8.4
21,100,3,5.4,Đống Đa,11.8
22,70,2,8.0,Cầu Giấy,7.8
23,52,2,9.0,Hà Đông,4.6
24,115,4,4.5,Hai Bà Trưng,13.1
25,68,2,13.2,Nam Từ Liêm,5.3
26,40,1,2.0,Hoàn Kiếm,6.9
27,125,4,16.0,Long Biên,9.8
28,62,2,5.5,Thanh Xuân,5.1
29,96,3,6.0,Hoàng Mai,7.4
30,76,3,4.2,Ba Đình,9.1
31,105,4,3.8,Đống Đa,12.4
32,82,3,7.4,Cầu Giấy,8.5
33,57,2,10.2,Hà Đông,4.9
34,135,5,2.1,Hai Bà Trưng,14.5
35,74,2,12.0,Nam Từ Liêm,6.2
36,46,1,1.8,Hoàn Kiếm,7.9
37,118,4,11.0,Long Biên,9.2
38,64,2,6.2,Thanh Xuân,5.8
39,91,3,8.7,Hoàng Mai,7.1
40,79,3,4.9,Ba Đình,9.7
